,Segmentation loss,Classification loss
0,0.2549957964926732,1.7743959677425318
1,0.15696445714270785,1.7656019488474686
2,0.1290797977300124,1.7651983485798461
3,0.11591567812555353,1.7545265404368087
4,0.10433579347564004,1.7547354424182833
5,0.0931694321263047,1.7589868829941337
6,0.09491687779462114,1.7549875940905881
7,0.08520059765658629,1.7557080151824256
8,0.08391060341615761,1.7559232207841013
9,0.0858903616894597,1.7538384642459153
10,0.08094545557289944,1.7577826157641274
11,0.0758959528968215,1.7553076170914004
12,0.07556429317193565,1.7541916528841812
13,0.07829121639848044,1.7541835456800552
14,0.07894758164355353,1.7574199629150289
15,0.07623134130372393,1.7587476682754488
16,0.07853334271744215,1.7540583759260269
17,0.0700721936179408,1.754865835186616
18,0.07355157004465374,1.7512278807369166
19,0.06973935824562216,1.7537909675811394
20,0.07449922768572792,1.756436743914738
21,0.06466628603278016,1.7542433416660368
22,0.06668222713118288,1.7576606667773966
23,0.068912889029334,1.7559603425797483
24,0.06815612095867686,1.7513359492776948
25,0.06506834405707286,1.7550975821068557
26,0.06690097951810138,1.7539229596073018
27,0.0658157384801212,1.7535966399649512
28,0.06487038705690107,1.754860138195261
29,0.06362402086408912,1.754033780429734
30,0.07115401452332845,1.749135250379394
31,0.06342318210024497,1.7546933557616544
32,0.06703963176631722,1.7511372035387152
33,0.06573932010331666,1.755986553579283
34,0.0641486457114893,1.7433964855497035
35,0.07506399578862011,1.7402468914033813
36,0.07133565176763178,1.736920322200387
37,0.07705525561200616,1.7769665871380387
38,0.06706727557241418,1.7334749107740661
39,0.06789095313356937,1.7492007252808497
40,0.06504080892410417,1.7542887929533815
41,0.06224326420234775,1.7373573749170652
42,0.06303763958316205,1.7504798354091204
43,0.0624984165545917,1.7498816610412269
44,0.05977951038854125,1.751940974232789
45,0.06153055860107219,1.751375026414582
46,0.061387049873149836,1.7544316454377604
47,0.05865751635555661,1.7576773546478799
48,0.056722291177546194,1.7585047664203022
49,0.05488891071909279,1.7585435612073559
50,0.05577052548544818,1.7603320680172567
51,0.05402052104759849,1.7616075618825353
52,0.058384643321993154,1.759440740330892
53,0.05569289750913861,1.760325682254762
54,0.054135429896797524,1.7597125697158806
55,0.051445520572031986,1.7611132853891478
56,0.05330215489195391,1.7602082634498428
57,0.051105306455774935,1.7607135849355966
58,0.05335643599600844,1.7616091611975673
59,0.10979773924755767,1.7674507744710413
60,0.059412773310477826,1.7502543773509263
